Food Name,Calcium (mg),Iron (mg),Potassium (mg),Sodium (mg),Protein (g),Carbohydrate (g),Fiber (g),Sugars (g),Net carbs (g),Fat (g),Saturated fatty acids (g),"Fatty acids, total trans (g)",Cholesterol (mg)
Energy drink (Monster),0,0.01,0.62,23.87,0.15,3.5,0,3.39,3.5,0,0,0,0
"Almond milk, unsweetened",448.96,0.68,163.48,175.68,0.98,3.2,0.49,1.98,2.71,2.342,0.195,0,0
Peanut butter,7.84,0.28,90.24,68.64,3.6,3.57,0.77,1.68,2.8,8.176,1.616,0,0
Chocolate by GHIRARDELLI,40.04,1.44,0,50.16,2,27,1.98,22,25.02,13.002,7.999,0,4.84
Ranch dressing by FRESH & EASY,0,0,0,219.9,0,2,0,1,2,11.001,1.5,0,5.1
Pizza rolls,157.08,2.26,377.23,750.89,10.94,63.53,1.55,4.69,61.98,12.495,3.124,0,7.14
"TACO BELL, Bean Burrito",229.4,4.38,482.85,1041.55,13.6,57.78,7.77,3.2,50.01,11.193,4.272,0.196,9.25
Annie's organic classic cheddar macaroni & cheese by GENERAL MILLS SALES INC.,100.11,0.8,239.98,519.72,9,50,1.99,6,48.01,3.003,1.498,0,9.94
"CAMPBELL'S CHUNKY, New England Clam Chowder",30.12,1.38,288.65,886.03,6.17,22.62,3.01,0,19.61,9.664,0,0,10.04
"Yogurt, CHOBANI, plain, whole, Greek",111,0.03,0,35,8.24,3.24,0.8,0,2.44,4.01,2.46,0.17,15
Artisan pepperoni fresh mozzerella wraps by Formaggio Italian Cheese Specialties Inc,149.6,0,0,159.8,6,1,0,0,1,6.001,4.003,0,20.4
Plum ice cream by Tillamook County Creamery Association,79.8,0,0,35,3,21,0,19,21,8.001,4.998,0,25.2
"Chicken nuggets, from frozen",72.8,1.48,320.6,840,18.7,25.03,2.52,1.12,22.51,26.922,5.597,0,50.4
Eggland's Best Vegetarian Grade AA White Eggs Large,0,0,0,0,6,0,0,0,0,4,1,0,170
"Chicken drumstick, skin eaten, rotisserie",29.7,1.38,376.65,529.2,34.63,0.16,0,0.16,0.16,15.471,3.854,0,201.15
Dave's Killer Bread 21 Grains,0,1,100,170,5,22,5,5,17,1.5,0,0,0
Mott's no sugar added Cinnamon applesauce,0,0,80,0,0,13,1,11,12,0,0,0,0
Black cherry spread by BONNE MAMAN,0,0,0,0,0,13,0,13,13,0,0,0,0
